SRR1521925 H3K4me3_Gn_1
SRR1521926 H3K4me3_Gn_1
SRR1521927 H3K4me3_Mono_1
SRR1521928 H3K4me3_Mono_2
SRR1521929 H3K4me3_Mono_3
SRR1521930 H3K4me3_Mono_4
SRR1521931 H3K4me3_MF_1
SRR1521932 H3K4me3_MF_2
SRR1521933 H3K4me3_MF_3
SRR1521934 H3K4me3_MF_4
SRR1521935 H3K4me3_B_1
SRR1521936 H3K4me3_B_2
SRR1521937 H3K4me3_CD4_1
SRR1521938 H3K4me3_CD4_2
SRR1521939 H3K4me3_CD8_1
SRR1521940 H3K4me3_CD8_2
SRR1521941 H3K4me3_NK_1
SRR1521942 H3K4me3_NK_2
SRR1521943 H3K4me3_CLP_1
SRR1521944 H3K4me3_CLP_2
SRR1521945 H3K4me3_CLP_3
SRR1536378 RNA_LTHSC_1
SRR1536379 RNA_STHSC_1
SRR1536380 RNA_STHSC_2
SRR1536381 RNA_STHSC_3
SRR1536382 RNA_STHSC_4
SRR1536383 RNA_MPP_1
SRR1536384 RNA_MPP_2
SRR1536385 RNA_CLP_1
SRR1536386 RNA_CLP_2
SRR1536387 RNA_CLP_3
SRR1536388 RNA_CLP_4
SRR1536389 RNA_CMP_1
SRR1536390 RNA_CMP_2
SRR1536391 RNA_CMP_3
SRR1536392 RNA_CMP_4
SRR1536393 RNA_GMP_1
SRR1536394 RNA_GMP_2
SRR1536395 RNA_GMP_3
SRR1536396 RNA_GMP_4
SRR1536397 RNA_MF_1
SRR1536398 RNA_MF_2
SRR1536399 RNA_MF_3
SRR1536400 RNA_MF_4
SRR1536401 RNA_Gn_1
SRR1536402 RNA_Gn_2
SRR1536403 RNA_Gn_3
SRR1536404 RNA_Gn_4
SRR1536405 RNA_Gn_5
SRR1536406 RNA_Gn_6
SRR1536407 RNA_Mono_1
SRR1536408 RNA_Mono_2
SRR1536409 RNA_Mono_3
SRR1536410 RNA_Mono_4
SRR1536411 RNA_B_1
SRR1536412 RNA_B_2
SRR1536413 RNA_CD4_1
SRR1536414 RNA_CD4_2
SRR1536415 RNA_CD4_3
SRR1536416 RNA_CD4_4
SRR1536417 RNA_CD8_1
SRR1536418 RNA_CD8_2
SRR1536419 RNA_CD8_3
SRR1536420 RNA_CD8_4
SRR1536421 RNA_NK_1
SRR1536422 RNA_NK_2
SRR1536423 RNA_MEP_1
SRR1536424 RNA_MEP_2
SRR1536425 RNA_MEP_3
SRR1536426 RNA_MEP_4
SRR1536427 RNA_EryA_1
SRR1536428 RNA_EryA_2
SRR1536429 RNA_EryB_1
